#timestamp(s) tx ty tz qx qy qz qw
1403636579.813555 0.01171610 -0.00387990 -0.01683259 0.03923724 0.79823081 0.00219626 0.60106837
1403636579.863555 0.02009809 -0.00621586 -0.04041263 0.01948705 0.91498359 0.05688213 0.39898586
1403636579.913555 0.00487953 -0.00890116 -0.07668300 0.05494805 0.85553401 0.01011947 0.51472310
1403636579.963556 -0.00000135 -0.00745146 -0.10806486 0.04710895 0.84204807 0.02300047 0.53684892
1403636580.013556 -0.00216952 -0.00804009 -0.14549336 0.04781134 0.83677162 0.02129611 0.54504478
1403636580.063555 -0.00537281 -0.00958746 -0.18047207 0.05069517 0.83595762 0.01752680 0.54616634
1403636580.113555 -0.00733303 -0.01250974 -0.21444032 0.05107603 0.83227413 0.01627532 0.55176637
1403636580.163555 -0.01130881 -0.01139105 -0.24869743 0.05563875 0.83352403 0.00960520 0.54959054
1403636580.213556 -0.01154116 -0.01106324 -0.28086637 0.05830597 0.83155261 0.00519145 0.55235290
1403636580.263556 -0.00889031 -0.00724125 -0.31606597 0.06074250 0.83155164 0.00096440 0.55211528
1403636580.313555 -0.00964988 -0.00817553 -0.34186584 0.06015017 0.83308944 -0.00002394 0.54985811
1403636580.363555 -0.00783531 -0.01212790 -0.36189189 0.05889905 0.83431782 -0.00100928 0.54812740
1403636580.413555 -0.01048543 -0.01304447 -0.37460042 0.05682073 0.83712643 -0.00023764 0.54405026
1403636580.463556 -0.00803568 -0.00919987 -0.39217488 0.05632596 0.84052018 -0.00123992 0.53884290
1403636580.513556 0.00662703 -0.01149521 -0.40341079 0.05575775 0.84322526 -0.00203447 0.53465698
1403636580.563555 0.00229497 -0.01441506 -0.40235663 0.05446903 0.84681965 -0.00319449 0.52907410
1403636580.613555 -0.00159342 -0.00929754 -0.39190988 0.05350791 0.84824838 -0.00658243 0.52684748
1403636580.663555 -0.00808979 -0.02023723 -0.37809142 0.05204501 0.84747672 -0.00662249 0.52823353
1403636580.713556 -0.01316689 -0.00635252 -0.35879142 0.05197675 0.84580014 -0.00346654 0.53095059
1403636580.763556 -0.02029313 0.00454469 -0.33234081 0.05117994 0.84320924 0.00034669 0.53514360
1403636580.813555 -0.03530314 0.01733071 -0.30121378 0.05064922 0.84011002 0.00497427 0.54002322
1403636580.863555 -0.04916499 0.03029840 -0.26849077 0.05113629 0.83638354 0.01111921 0.54564092
1403636580.913555 -0.05035560 0.04238392 -0.22819912 0.05130344 0.83228718 0.01874371 0.55164724
1403636580.963556 -0.05293443 0.04835812 -0.19226207 0.05103428 0.82797009 0.02209312 0.55800800
1403636581.013556 -0.06254627 0.05660062 -0.15787873 0.04997158 0.82405255 0.02328177 0.56382462
1403636581.063555 -0.06904512 0.06056017 -0.12837171 0.04956339 0.81999967 0.02332418 0.56973677
1403636581.113555 -0.07540357 0.06622608 -0.09775700 0.05025682 0.81595355 0.02399236 0.57542891
1403636581.163555 -0.08294094 0.07126496 -0.06852616 0.05224573 0.81112012 0.02391654 0.58205028
1403636581.213556 -0.08610703 0.07620926 -0.04568072 0.05352880 0.80583946 0.02430274 0.58920862
1403636581.263556 -0.07989292 0.08106587 -0.02097911 0.05472531 0.79947623 0.02371937 0.59772928
1403636581.313555 -0.07776658 0.08432882 -0.00243510 0.05294068 0.79446664 0.02539752 0.60446258
1403636581.363555 -0.07800497 0.08372906 0.01133748 0.05163548 0.79116132 0.02793650 0.60878329
1403636581.413555 -0.07809127 0.08008657 0.01195021 0.04940255 0.79037478 0.03296548 0.60973795
1403636581.463556 -0.07941539 0.07685766 0.00756096 0.04664687 0.79212671 0.03699316 0.60744617
1403636581.513556 -0.07964747 0.07322433 -0.00274091 0.04449417 0.79560474 0.04042450 0.60282603
1403636581.563555 -0.07806709 0.06882311 -0.01963423 0.04496500 0.79930153 0.04106342 0.59783694
1403636581.613555 -0.07827190 0.06646158 -0.04229391 0.04494629 0.80324211 0.03995855 0.59260886
1403636581.663555 -0.07482925 0.06502697 -0.06630063 0.04598632 0.80650045 0.03860391 0.58817686
1403636581.713556 -0.07446148 0.06428928 -0.09777397 0.04455411 0.80863402 0.03925223 0.58530780
1403636581.763556 -0.07347449 0.06455001 -0.13094419 0.04514062 0.80958284 0.03738969 0.58407188
1403636581.813555 -0.07283033 0.06250474 -0.16593405 0.04365483 0.81046712 0.03503746 0.58310349
1403636581.863555 -0.07138171 0.06087210 -0.20082214 0.04337980 0.81180140 0.03426284 0.58131122
1403636581.913555 -0.07019990 0.05922550 -0.23467135 0.04447510 0.81462246 0.03114869 0.57744435
1403636581.963556 -0.06845065 0.05863916 -0.26722952 0.04699443 0.81849581 0.03160668 0.57171422
1403636582.013556 -0.06777698 0.05712027 -0.29564247 0.04973005 0.82314209 0.03167303 0.56476618
1403636582.063555 -0.06647443 0.05552704 -0.32082172 0.05115786 0.82808009 0.03215577 0.55734391
1403636582.113555 -0.06584461 0.05475888 -0.34116141 0.05095041 0.83297095 0.03116168 0.55008400
1403636582.163555 -0.06480044 0.05329387 -0.35599694 0.05083681 0.83688998 0.02855239 0.54425686
1403636582.213556 -0.06188109 0.05272879 -0.36315202 0.04998109 0.83993948 0.02654144 0.53972133
1403636582.263556 -0.06170583 0.05255573 -0.36165154 0.04946319 0.84182758 0.02533693 0.53687779
1403636582.313555 -0.06254781 0.05196314 -0.35178153 0.04863783 0.84231650 0.02388066 0.53625274
1403636582.363555 -0.06220761 0.05108142 -0.33433155 0.04860053 0.84080248 0.02256924 0.53868340
1403636582.413555 -0.06199211 0.04852732 -0.31004178 0.04817408 0.83728503 0.02268173 0.54416778
1403636582.463556 -0.05792672 0.04655085 -0.28283277 0.04855410 0.83281083 0.02278305 0.55095331
1403636582.513556 -0.05861632 0.04577183 -0.25135878 0.04775541 0.82922665 0.02549260 0.55628474
1403636582.563555 -0.05926147 0.04611569 -0.21776539 0.04839599 0.82640800 0.02716623 0.56032994
1403636582.613555 -0.05904732 0.04507372 -0.18460863 0.04831379 0.82462788 0.03116971 0.56274602
1403636582.663555 -0.05887489 0.04448568 -0.15069069 0.04978273 0.82311966 0.03368484 0.56467782
